Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Operating Status,Full Description,Last Funding Type,Headquarters Location,Headquarters Regions,Description,Founded Date,Founded Date Precision,Industry Groups,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Top 5 Investors,IPO Status,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Website,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Investment Stage,Investor Type,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Acquisition Status,Number of Acquisitions,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (Company),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags
Strata Identity,https://www.crunchbase.com/organization/strata-identity,37500000,USD,37500000,Active,"Strata Identity provides distributed multi-cloud identity solutions to enterprises. Its identity orchestration platform is designed specifically for hybrid and multi-cloud environments that enable users to easily manage distributed identity systems. The company was founded in 2019 and is headquartered in Boulder, with offices in Vancouver, San Francisco, Austin, and Atlanta.",Series B,"Boulder, Colorado, United States","Greater Denver Area, Western US",Strata Identity provides distributed multi-cloud identity orchestration for hybrid and multi-cloud environments.,2019-01-01,year,"Information Technology, Internet Services, Privacy and Security, Software","Cloud Data Services, Identity Management, Information Technology, Software",2023-01-25,26000000,USD,26000000,37500000,USD,37500000,"Menlo Ventures, Telstra Ventures, Forgepoint Capital, Innovating Capital, Nick Candito",Private,,,,https://www.strata.io,,,,,,,For Profit,https://twitter.com/strataidentity,,https://www.linkedin.com/company/strata-identity/,info@strata.io,1-888-552-4930,12,,,,,,,,,,,,,,,,,,,,3,"Eric Leach, Eric Olden, Topher Marie",11-50,4,Early Stage Venture,26000000,USD,26000000,Series B,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,"2,576","2,568",,-2.3,-2.4,2.9,13,"Engineering, Finance, Information Technology, Management, Marketing, Operations, Product, Sales",27,,"10,495","9,485.17",79.1%,333,338.16%,2.61,66.71%,37.33%,-30.69%,"1,852,116","-926,783",-33.35%,56,,,,,,,,,,,,
Live Tinted,https://www.crunchbase.com/organization/tinted,17963642,USD,17963642,Active,"Live Tinted is a digital community focused on the representation of all the shades in between. Despite incredible change and moves towards more diversity, many women and others still felt they were missed or looked over even in these progressive beauty spaces. They created TINTED & wanted to reach those people, to hear what they felt was missing, and to learn how they wanted to be represented authentically. They want to share the importance of a strong personal identity in order to build out their niche presence in beauty as part of the normal standard – to be seen as fully immersed, and no longer as a token or a checkmark. The company was founded in 2018 and is headquartered in Los Angeles, California.",Series A,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",Live Tinted is a digital community focused on the representation of all the shades in between.,2018-01-01,year,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design","Beauty, Fashion, Retail",2023-03-02,10000000,USD,10000000,17963642,USD,17963642,"Fearless Fund, Montage Ventures, Color Capital, Monogram Capital Partners, Payal Kadakia",Private,,,,http://www.livetinted.com,"Women Founded, Women Led",$1M to $10M,,,,,For Profit,https://twitter.com/livetinted,https://www.facebook.com/pg/livetinted,https://www.linkedin.com/company/livetinted/,info@livetinted.com,,7,,,,,,,,,,,,,,,,,,,,2,"Deepica Mutyala, Neilesh Mutyala",11-50,6,Early Stage Venture,10000000,USD,10000000,Series A,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,"2,583","2,575",,-0.7,8.4,7.6,10,"Management, Marketing, Medical & Science, Operations, Product",11,,"61,855","61,869.67",-43.88%,226,32.16%,2.63,43.32%,56.98%,7.02%,"572,141","186,538",48.38%,44,,,,,,,,,,,,
Mentor Spaces,https://www.crunchbase.com/organization/better-weekdays,4520000,USD,4520000,Active,"Mentor Spaces is a community-driven mentorship platform designed to make it easier for companies to attract, hire and retain underrepresented talent. As the largest mentorship community for underrepresented professionals, the platform facilitates conversations with experts aligned to one’s professional interests and goals. Mentor Spaces allows companies to cultivate relationships with underrepresented talent ahead of formal recruiting events.",Seed,"Denver, Colorado, United States","Greater Denver Area, Western US",Virtual mentorship for underrepresented talent that helps companies scale diversity.,2020-01-01,year,"Administrative Services, Education, Professional Services, Sales and Marketing","Brand Marketing, Career Planning, College Recruiting, Recruiting, Social Recruiting",2021-07-29,2500000,USD,2500000,4170000,USD,4170000,"Techstars, Portfolia, Village Capital, Arch Grants, iSelect Fund",Private,,,,https://www.mentorspaces.com/,"Black / African American Founded, Black / African American Led",,,,,,For Profit,https://twitter.com/mentorspaces,http://www.facebook.com/mentorspaces,https://www.linkedin.com/company/mentorspaces/,support@mentorspaces.com,,14,,,,,,,,,,,,,,,,,,,,2,"Chris Motley, Kunal Parbadia",11-50,7,Seed,2500000,USD,2500000,Seed,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,"2,591","2,583",,-0.1,1.5,3.1,9,"Engineering, Finance, Management, Marketing, Medical & Science",9,,"8,468",,76.71%,101,-84.63%,1.77,19.32%,61.69%,18.68%,"2,122,331","-945,236",-30.81%,60,1,,,,,,,,,,,
Arch,https://www.crunchbase.com/organization/arch-7c76,5500000,USD,5500000,Active,"Arch manages private investment operations for leading investors and investment advisors, reinventing private portfolio management through a digital solution that replaces traditionally paper based processes.",Seed,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Arch digitally manages private investment operations for investors and investment advisors.,2018-01-01,year,"Financial Services, Lending and Investments, Real Estate, Software","Hedge Funds, Real Estate Investment, Software, Venture Capital, Wealth Management",2021-12-08,5500000,USD,5500000,5500000,USD,5500000,"Quiet Capital, Soma Capital, Animal Capital, Tony Xu, Good Friends",Private,,,,https://archlabs.com,,,,,,,For Profit,,,https://www.linkedin.com/company/archsoftware/,founders@archlabs.com,,148,,,,,,,,,,,,,,,,,,,,3,"Jason Trigg, Joel Stein, Ryan Eisenman",1-10,2,Seed,5500000,USD,5500000,Seed,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,"2,605","2,597",,-1.1,-0.3,1.5,7,"Engineering, Management, Operations",6,,"2,142",,,0,,1,,100%,,"4,567,505",,,24,,,,595,484,Medical Or Veterinary Science; Hygiene,Chemical substances,,,,,
Cove Markets,https://www.crunchbase.com/organization/cove-markets,1534966,USD,1534966,Active,"Cove Markets is a fintech startup that will offer services allowing active traders and professionals to achieve best execution for a wide range of digital assets in a fully transparent, easy-to-use, algorithmic, and secure fashion. We were founded by financial industry veterans from IMC, Jump Trading, and OptionsCity",Venture - Series Unknown,"Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",Cove Markets is a provider of a trading platform intended for frictionless trading.,2018-01-01,year,"Financial Services, Lending and Investments",Trading Platform,2019-10-11,1534966,USD,1534966,1534966,USD,1534966,,Private,,,,https://www.covemarkets.com,,,2021-12-14,day,,,For Profit,https://twitter.com/covemarkets,https://www.facebook.com/tradewithcove,https://www.linkedin.com/company/cove-markets,,,4,,,,,,,,,,,,,,,,,,,,2,"Scott Knudsen, Victor Glava",1-10,1,M&A,1534966,USD,1534966,Venture - Series Unknown,,,Was Acquired,,Cove Markets acquired by Robinhood,https://www.crunchbase.com/acquisition/robinhood-acquires-cove-markets--9aa76590,Robinhood,https://www.crunchbase.com/organization/robinhood,2021-12-14,day,,,,Acquisition,,,,,,,,,,,,,,"2,611","2,603",,2.2,7.9,9.6,15,Engineering,2,,"1,810,401","1,430,023.17",-9.7%,188,-25.4%,2.54,6.56%,41.26%,6.53%,"45,209","3,511",8.42%,70,,,,0,1,,Insurance; financial affairs,,,,,
Galxe,https://www.crunchbase.com/organization/galxe,10000000,USD,10000000,Active,Galxe is the leading Web3 credential data network in the world. A collaborative credential infrastructure enabling brands and developers to engage communities and build robust products in Web3. (Previously known as Project Galaxy),Series A,"San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Galxe is the leading Web3 credential data network in the world.,2021-03-01,month,"Information Technology, Other, Privacy and Security, Software","Blockchain, Identity Management, Software",2022-01-26,10000000,USD,10000000,10000000,USD,10000000,"Alameda Research, Coinbase Ventures, Multicoin Capital, The Spartan Group, Solana Ventures",Private,,,,https://galxe.com,,,,,,,For Profit,https://twitter.com/galxe,,https://www.linkedin.com/company/galxe,,,4,,,,,7,7,,,,,,,,,,,,,,3,"Charles Wayn, Harry Zhang, Xinlu C.",51-100,2,Early Stage Venture,10000000,USD,10000000,Series A,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,"2,617","2,609",,-1.4,3.6,4.6,8,,,,"2,599,165","2,844,181.5",11.07%,851,-16.98%,2.55,-11.6%,59.19%,6.11%,"33,570","-3,188",-8.67%,30,,,,,,,,,,,,
Verismo Therapeutics,https://www.crunchbase.com/organization/verismo-therapeutics,23000000,USD,23000000,Active,"Verismo Therapeutics develops novel chimeric antigen receptors (CARs) that enhance T-cell-based cellular immunotherapy for cancer. Verismo’s cellular therapy, known as KIR-CAR, is designed to provide a “natural stimulation” to T cells without triggering the T-cell exhaustion for the treatment of solid tumors. The lead therapy candidates in preclinical development are targeting pancreatic cancer, mesothelioma, and ovarian cancer.",Series A,"Philadelphia, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",Verismo Therapeutics develops novel chimeric antigen receptors (CARs) that enhance T-cell-based cellular immunotherapy for cancer.,2020-01-01,year,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical, Therapeutics",2023-02-28,7000000,USD,7000000,23000000,USD,23000000,BRV Capital Management,Private,,,,https://verismotherapeutics.com/,,,,,,,For Profit,,,,,(215) 989-4225,4,,,,,,,,,,,,,,,,,,,,3,"Bryan Kim, Donald L. Siegel, Michael C. Milone",1-10,2,Early Stage Venture,7000000,USD,7000000,Series A,1,1,,,,,,,,,,,,,,,,,,,,,,,2021-10-13,,,"2,619","2,611",,-1.2,9.1,8,603,"Engineering, Management, Marketing",5,,"1,641",,-43.61%,0,612.5%,1,-55.7%,100%,-33.34%,"5,425,232","1,334,187",32.61%,25,,,,,,,,,,,,
Sweater,https://www.crunchbase.com/organization/sweater,14300000,USD,14300000,Active,"Sweater is a fintech company building the first fully-managed venture capital fund that is open to everyday investors. Our mobile-first experience allows you direct access to the world's most exclusive asset class—Venture Capital. Sweater’s mission is to empower everyone to become investors in the next generation of venture-backed startups. Every founder should be able to build their vision, and every person should be able to take part in the founder journeys that create the next generation of influence and wealth.",Seed,"Boulder, Colorado, United States","Greater Denver Area, Western US",Sweater is a fintech company building the first fully-managed venture capital fund that is open to everyday investors.,2019-01-01,year,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",2022-02-24,12000000,USD,12000000,14300000,USD,14300000,"Motivate Venture Capital, Akuna Capital, Zilliqa Capital, Bison Venture Partners, Jeff Cruttenden",Private,,,,https://www.sweaterventures.com/,,,,,,,For Profit,https://twitter.com/sweaterventures?lang=en,https://www.facebook.com/sweaterventures,https://www.linkedin.com/company/sweaterventures/,team@sweaterventures.com,,9,,,Early Stage Venture,Venture Capital,9,9,,2,,,,,,,,,,,,4,"Chad Lewkowski, Dominick Lima, Jesse Randall, Matthew Klein",11-50,2,Seed,12000000,USD,12000000,Seed,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,"2,686","2,678",,-0.8,-0.8,6.9,78,"Engineering, Finance, Management, Marketing, Operations",16,,"14,312","149,130.17",-66.32%,156,10.64%,1.96,35.79%,66.22%,-23.13%,"1,556,078","789,318",102.94%,62,1,"11,014",,,,,,,,,,
Rembrand,https://www.crunchbase.com/organization/rembrand,8000000,USD,8000000,Active,"Rembrand is a programmatic product placement platform that is revolutionizing the creator economy. It employs artificial intelligence (AI) to create memorable, natural, and effective product placement in digital video.",Seed,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast","Rembrand is revolutionizing the creator economy, with programmatic product placement.",2022-01-01,year,"Advertising, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Content Creators, Information Technology, Personal Branding, Social Media, Social Media Marketing",2022-12-15,8000000,USD,8000000,8000000,USD,8000000,"Greycroft, UTA Ventures, 2.12 Angels",Private,,,,https://www.rembrand.com,,$10M to $50M,,,,,For Profit,https://twitter.com/getrembrand,,https://www.linkedin.com/company/getrembrand,info@rembrand.com,650-200-3733,5,,,,,,,,,,,,,,,,,,,,5,"Ahmed Saad, David Wiener, Nikki Heyder, Omar Tawakol, ‪Abdelrahman Mohamed",1-10,1,Seed,8000000,USD,8000000,Seed,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,"2,693","2,685",,-1.3,-0.6,8.2,12,,,,"20,473","31,698.67",959.68%,57,-85.71%,1.49,49.31%,70.76%,-29.24%,"1,265,632","-3,975,248",-75.85%,52,,,,,,,,,,,,
Rephrase.ai,https://www.crunchbase.com/organization/rephrase-ai,12200000,USD,12200000,Active,"Rephrase.ai helps in creating videos and animations through an AI-powered visual dubbing tool. It is a developer of a video creation technology designed to take any piece of text and create a video of any person speaking that text. Its video creation technology uses generative AI tools to learn people's facial features corresponding to any spoken audio, and then reconstructs photorealistic faces for any new given text or audio and help clients to create training videos, personalize videos for sales, make characters speak in AR/VR and give a face to digital assistants.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Rephrase builds generative AI tools to create professional videos with the ease of writing text.,2019-01-01,year,"Artificial Intelligence, Data and Analytics, Hardware, Media and Entertainment, Science and Engineering, Software, Video","Animation, Artificial Intelligence, Augmented Reality, Video, Virtual Reality",2022-09-15,10600000,USD,10600000,12200000,USD,12200000,"Techstars, Silver Lake, 8VC, Red Ventures, AV8 Ventures",Private,,,,https://rephrase.ai/,,,,,,,For Profit,https://twitter.com/rephrase_ai,https://www.facebook.com/rephraseai,https://www.linkedin.com/company/rephrase-ai,,,10,,,,,,,,,,,,,,,,,,,,3,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla",11-50,3,Early Stage Venture,10600000,USD,10600000,Series A,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,"2,694","2,686",,-0.5,-0.4,0,9,Operations,3,,"97,281","57,543.33",27.22%,608,76.23%,1.98,-4.57%,64.78%,20.7%,"414,142","-89,943",-17.84%,60,,,13,,,,,,,,,
OthersideAI,https://www.crunchbase.com/organization/othersideai,5400000,USD,5400000,Active,"OthersideAI is an information technology company that provides AI-driven software that turns summaries and shorthand notes into written emails, documents, and more, enabling users to save time. The software is available as a Chrome Extension and is built on GPT-3, a general-purpose AI model from OpenAI which delivers natural-language results for virtually any task. It also offers a feature set to include personal style and tone. Matt Shumer, Jason Kuperberg and Miles Feldstein founded the company in 2020.",Seed,"Melville, New York, United States","Greater New York Area, East Coast, Northeastern US",OthersideAI is a provider of an AI-driven software which turns summaries and shorthand notes into written emails.,2020-07-01,month,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Science and Engineering, Software","Artificial Intelligence, Email, Machine Learning, Natural Language Processing, Productivity Tools, Software",2023-03-09,2800000,USD,2800000,5400000,USD,5400000,"Madrona, Active Capital, Chapter One Ventures, Hustle Fund, Siqi Chen",Private,,,,https://www.othersideai.com,,,,,,,For Profit,https://twitter.com/OthersideAI,https://www.facebook.com/HyperWrite,https://www.linkedin.com/company/othersideai,info@othersideai.com,631-559-5913,7,,,,,,,,,,,,,,,,,,,,3,"Jason Kuperberg, Matt Shumer, Miles Feldstein",1-10,3,Seed,2800000,USD,2800000,Seed,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,"2,699","2,691",,8.5,8.3,8.7,4,"Management, Operations",2,,,,,,,,,,,,,,20,,,,,,,,,,,,
Scratchpad,https://www.crunchbase.com/organization/scratchpad-1dad,49600000,USD,49600000,Active,"Scratchpad is a workspace built for sales to update Salesforce and take sales notes and daily todos. The software can be installed as a Google Chrome plugin or as a web application. It connects to Salesforce and provides an interface where sales professionals can keep all their notes, process workflows, spreadsheets, and tasks. Scratchpad is backed by Accel, Craft Ventures, Sound Ventures, and Shrug Capital. Co-founders Pouyan Salehi and Cyrus Karbassiyoon started the company in San Francisco, California in 2019.",Series B,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","The fastest experience for salespeople to do their work. Fewer clicks, less tabs, and no waiting for pages to load.",2019-01-01,year,"Information Technology, Sales and Marketing, Software","CRM, Information Technology, Productivity Tools, SaaS, Sales, Sales Automation, Software",2022-01-25,33000000,USD,33000000,49600000,USD,49600000,"Accel, Peak State Ventures, Shrug Capital, Bossanova Investimentos, Sound Ventures",Private,,,,https://scratchpad.com,,,,,,,For Profit,https://twitter.com/scratchpad,https://www.facebook.com/scratchpad.ae,https://www.linkedin.com/company/scratchpad-ae,hello@scratchpad.com,,17,,,,,,,,,,,,,,,,,,,,2,"Cyrus Karbassiyoon, Pouyan Salehi",51-100,3,Early Stage Venture,33000000,USD,33000000,Series B,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,"2,707","2,699",,0.9,0.1,1.7,8,"Engineering, Finance, Human Resources, Management, Marketing, Medical & Science, Operations, Sales",27,,"38,302","47,865.67",-52.46%,900,-63.67%,1.49,0.48%,72.44%,3.98%,"802,945","317,348",65.35%,54,,,13,,,,,,,,,
